,Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected,Year
694,February,02/10/2021,15:00:00,02/23/2021,15:00:00,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,2000000,2021
695,February,02/11/2021,08:30:00,02/22/2021,09:00:00,Illinois: Scott County;,SERC,Fuel supply emergencies that could impact electric power system adequacy or reliability.,Fuel Supply Deficiency,Unknown,Unknown,2021
696,February,02/11/2021,19:21:00,02/11/2021,21:20:00,Colorado: Morgan County;,WECC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0,2021
697,February,02/11/2021,13:00:00,Unknown,Unknown,Kansas:,MRO,Fuel supply emergencies that could impact electric power system adequacy or reliability.,Fuel Supply Deficiency,0,0,2021
698,February,02/12/2021,21:00:00,02/20/2021,17:15:00,"Oregon: Clackamas County, Marion County, Polk County, Multnomah County, Washington County, Yamhill County;",WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,300187,2021
699,February,02/12/2021,15:30:00,02/22/2021,07:30:00,Texas:,TRE,Fuel supply emergencies that could impact electric power system adequacy or reliability.,Fuel Supply Deficiency,Unknown,Unknown,2021
700,February,02/13/2021,09:56:00,02/13/2021,11:01:00,Washington: Lewis County;,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,164,37583,2021
701,February,02/13/2021,13:30:00,02/20/2021,08:00:00,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown,2021
702,February,02/13/2021,13:30:00,02/19/2021,21:00:00,West Virginia: Virginia:,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,55097,2021
703,February,02/13/2021,08:32:00,02/14/2021,15:00:00,South Carolina: North Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,129000,2021
704,February,02/14/2021,08:30:00,02/19/2021,18:00:00,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,7214,Unknown,2021
705,February,02/14/2021,08:30:00,02/19/2021,18:00:00,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown,2021
706,February,02/14/2021,05:30:00,02/18/2021,10:00:00,Oklahoma:,MRO,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown,2021
707,February,02/14/2021,20:21:00,02/18/2021,09:30:00,Arkansas: Louisiana: Texas: Oklahoma:,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,461,125484,2021
708,February,02/14/2021,20:00:00,02/18/2021,09:28:00,North Dakota: South Dakota: Nebraska: Kansas: Oklahoma: Texas:,MRO,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,3000,Unknown,2021
709,February,02/14/2021,19:05:00,Unknown,Unknown,Missouri: Kansas:,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown,2021
710,February,02/14/2021,20:32:00,Unknown,Unknown,Nebraska: Lancaster County;,MRO,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,0,0,2021
711,February,02/14/2021,18:00:00,02/16/2021,22:00:00,Missouri: Jasper County;,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,0,0,2021
712,February,02/15/2021,01:20:00,02/18/2021,00:42:00,"Texas: Hidalgo County, Cameron County;",TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,Unknown,Unknown,2021
713,February,02/15/2021,01:20:00,02/18/2021,00:02:00,Texas: Harris County;,TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,4966,1390000,2021
714,February,02/15/2021,16:00:00,02/15/2021,18:34:00,Texas: Travis County;,TRE,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,2021
715,February,02/15/2021,00:00:00,Unknown,Unknown,Texas:,TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,500,Unknown,2021
716,February,02/15/2021,05:36:00,Unknown,Unknown,Texas:,TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,300,Unknown,2021
717,February,02/15/2021,13:00:00,02/20/2021,10:00:00,Texas:,TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,Unknown,175000,2021
718,February,02/15/2021,01:54:00,02/17/2021,23:56:00,Texas:,TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,524,Unknown,2021
719,February,02/15/2021,01:20:00,02/19/2021,09:00:00,Texas:,TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,7214,Unknown,2021
720,February,02/15/2021,15:00:00,02/19/2021,10:00:00,Louisiana:,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown,2021
721,February,02/15/2021,02:51:00,02/19/2021,09:00:00,Texas: Travis County;,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,219306,2021
722,February,02/15/2021,01:54:00,02/19/2021,09:00:00,Texas: Travis County;,TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,724,Unknown,2021
723,February,02/15/2021,03:06:00,Unknown,Unknown,Texas: Bexar County;,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,154000,2021
724,February,02/15/2021,05:27:00,02/18/2021,08:18:00,Texas:,TRE,"Total generation loss, within one minute of: greater than or equal to 2,000 Megawatts in the Eastern or Western Interconnection or greater than or equal to 1,400 Megawatts in the ERCOT Interconnection.",Severe Weather,Unknown,Unknown,2021
725,February,02/15/2021,01:23:00,02/19/2021,05:30:00,Texas:,TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,Unknown,Unknown,2021
726,February,02/15/2021,08:50:00,02/18/2021,09:30:00,Kansas:,MRO,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown,2021
727,February,02/15/2021,07:00:00,02/18/2021,09:00:00,Oklahoma:,MRO,Fuel supply emergencies that could impact electric power system adequacy or reliability.,Fuel Supply Deficiency,0,0,2021
728,February,02/15/2021,19:48:00,02/18/2021,10:30:00,Oklahoma: Kay County;,MRO,Fuel supply emergencies that could impact electric power system adequacy or reliability.,Fuel Supply Deficiency,0,Unknown,2021
729,February,02/15/2021,10:24:00,02/18/2021,09:52:00,Texas: Lubbock County;,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,116,29942,2021
730,February,02/15/2021,18:00:00,02/15/2021,23:55:00,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown,2021
731,February,02/15/2021,05:40:00,02/16/2021,13:11:00,Texas:,TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,800,Unknown,2021
732,February,02/15/2021,06:45:00,Unknown,Unknown,Texas: Arkansas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,Unknown,2021
733,February,02/15/2021,05:00:00,02/17/2021,16:00:00,Arkansas: Pulaski County;,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown,2021
734,February,02/15/2021,17:00:00,02/15/2021,22:59:00,Mississippi:,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown,2021
735,February,02/15/2021,07:52:00,02/17/2021,14:15:00,"Texas: Austin County, Bastrop County, Burleson County, Caldwell County, Colorado County, Fayette County, Gonzales County, Guadalupe County, Hays County, Lee County, Milam County, Travis County, Washington County, Williamson County;",TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,107,25000,2021
736,February,02/15/2021,06:51:00,02/16/2021,13:19:00,Oklahoma:,MRO,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,350,200000,2021
737,February,02/15/2021,18:00:00,02/15/2021,23:59:00,Louisiana:,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,System Operations,Unknown,Unknown,2021
738,February,02/15/2021,18:00:00,02/15/2021,23:59:00,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown,2021
739,February,02/15/2021,14:00:00,02/15/2021,18:00:00,Louisiana:,SERC,Fuel supply emergencies that could impact electric power system adequacy or reliability.,Fuel Supply Deficiency,Unknown,Unknown,2021
740,February,02/15/2021,01:20:00,Unknown,Unknown,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,360,72000,2021
741,February,02/15/2021,12:18:00,02/15/2021,13:22:00,Missouri: Kansas:,SERC,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,Unknown,Unknown,2021
742,February,02/15/2021,10:00:00,Unknown,Unknown,Nebraska: Lancaster County;,MRO,Fuel supply emergencies that could impact electric power system adequacy or reliability.,Fuel Supply Deficiency,613,Unknown,2021
743,February,02/15/2021,09:10:00,Unknown,Unknown,Texas: Randall County;,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,0,0,2021
744,February,02/15/2021,05:36:00,Unknown,Unknown,Texas:,TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,300,Unknown,2021
745,February,02/15/2021,00:00:00,Unknown,Unknown,Texas:,TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,500,Unknown,2021
746,February,02/16/2021,07:03:00,02/20/2021,22:00:00,Kansas: Missouri:,MRO,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,Unknown,222000,2021
747,February,02/16/2021,18:19:00,Unknown,Unknown,Arkansas:,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,Unknown,Unknown,2021
748,February,02/16/2021,17:45:00,02/16/2021,19:15:00,Texas: Travis County;,TRE,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,0,0,2021
749,February,02/16/2021,06:48:00,Unknown,Unknown,Louisiana:,SERC,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,360,Unknown,2021
750,February,02/16/2021,18:35:00,02/17/2021,01:00:00,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Fuel Supply Deficiency,Unknown,Unknown,2021
751,February,02/16/2021,23:28:00,Unknown,Unknown,Texas:,TRE,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,0,0,2021
752,February,02/16/2021,16:40:00,02/20/2021,00:00:00,Missouri:,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown,2021
753,February,02/16/2021,17:35:00,02/17/2021,00:00:00,Mississippi:,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown,2021
754,February,02/16/2021,07:20:00,02/16/2021,10:02:00,"Nebraska: Douglas County, Burt County, Washington County, Dodge County, Colfax County, Saunders County, Sarpy County, Cass County, Otoe County, Johnson County, Nemaha County, Pawnee County, Richardson County;",MRO,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,126,81100,2021
755,February,02/16/2021,05:30:00,02/16/2021,14:00:00,Louisiana: Texas: Illinois:,SERC,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,1420,Unknown,2021
756,February,02/16/2021,19:43:00,02/16/2021,21:41:00,Louisiana: Arkansas: Texas: Mississippi:,SERC,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,700,Unknown,2021
757,February,02/16/2021,19:40:00,02/17/2021,01:00:00,Texas:,TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,538,Unknown,2021
758,February,02/16/2021,07:17:00,02/16/2021,10:08:00,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,168,840000,2021
759,February,02/16/2021,18:35:00,02/17/2021,01:00:00,Louisiana:,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,System Operations,Unknown,Unknown,2021
760,February,02/16/2021,10:20:00,02/16/2021,13:20:00,Oregon: Multnomah County;,WECC,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,0,0,2021
761,February,02/16/2021,09:31:00,02/16/2021,10:27:00,Nebraska: Custer County;,MRO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,31,Unknown,2021
762,February,02/16/2021,17:35:00,02/17/2021,00:00:00,Louisiana: Lafayette Parish;,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown,2021
763,February,02/16/2021,06:24:00,02/16/2021,10:41:00,Louisiana:,SERC,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,System Operations,100,18150,2021
764,February,02/16/2021,01:00:00,02/16/2021,21:28:00,Kentucky:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,54167,2021
765,February,02/16/2021,06:10:00,Unknown,Unknown,Missouri:,SERC,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather/Transmission Interruption,130,Unknown,2021
766,February,02/16/2021,07:00:00,Unknown,Unknown,New Jersey: Pennsylvania: Texas: California: Illinois: Colorado:,RF,Cyber event that could potentially impact electric power system adequacy or reliability.,Cyber Event,Unknown,0,2021
767,February,02/16/2021,07:22:00,02/16/2021,08:00:00,"Louisiana: Allen Parish, St. Landry Parish, Evangeline Parish;",SERC,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,153,Unknown,2021
768,February,02/16/2021,06:48:00,Unknown,Unknown,Louisiana: Texas:,SERC,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,402,Unknown,2021
769,February,02/16/2021,04:26:00,Unknown,Unknown,Texas:,TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,300,Unknown,2021
770,February,02/17/2021,18:00:00,02/17/2021,23:00:00,Louisiana:,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,System Operations,Unknown,Unknown,2021
771,February,02/17/2021,18:00:00,02/17/2021,23:00:00,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown,2021
772,February,02/17/2021,09:00:00,02/19/2021,09:00:00,Kansas:,MRO,Fuel supply emergencies that could impact electric power system adequacy or reliability.,Fuel Supply Deficiency,Unknown,Unknown,2021
773,February,02/17/2021,17:00:00,02/17/2021,22:00:00,Mississippi:,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown,2021
774,February,02/17/2021,10:30:00,02/17/2021,18:04:00,North Carolina:,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0,2021
775,February,02/17/2021,17:00:00,02/17/2021,22:00:00,Louisiana: Lafayette Parish;,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,400,67000,2021
776,February,02/17/2021,06:38:00,02/17/2021,08:37:00,Texas: Travis County;,TRE,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,2021
777,February,02/19/2021,06:48:00,Unknown,Unknown,Louisiana: Texas:,SERC,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,402,Unknown,2021
778,February,02/19/2021,21:00:00,02/20/2021,13:00:00,Texas:,TRE,Cyber event that causes interruptions of electrical system operations.,Cyber Event,Unknown,0,2021
779,February,02/19/2021,12:01:00,02/19/2021,12:41:00,New York: Broome County;,NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,2021
780,February,02/27/2021,06:02:00,02/27/2021,09:51:00,"Oregon: Multnomah County, Clackamas County;",WECC,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,Unknown,0,2021
781,February,02/28/2021,12:42:00,02/28/2021,13:22:00,Texas:,TRE,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,2021
782,March,03/01/2021,10:06:00,03/09/2021,12:00:00,New York: Greene County;,NPCC,Cyber event that could potentially impact electric power system adequacy or reliability.,Cyber Event,0,0,2021
783,March,03/01/2021,22:45:00,03/02/2021,18:35:00,Connecticut: Massachusetts: New Hampshire: Maine: Rhode Island: Vermont:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,69260,2021
784,March,03/01/2021,13:06:00,03/01/2021,13:07:00,Texas: Nueces County;,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2021
785,March,03/02/2021,13:03:00,03/02/2021,13:38:00,Kentucky:,SERC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,2021
786,March,03/05/2021,14:30:00,03/05/2021,15:00:00,Indiana: Hamilton County;,RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,2021
787,March,03/06/2021,03:21:00,03/06/2021,04:07:00,California: Tuolumne County;,WECC,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.,Severe Weather,22,24000,2021
788,March,03/08/2021,04:36:00,03/08/2021,04:37:00,Washington: Yakima County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2021
789,March,03/08/2021,08:54:00,03/08/2021,08:55:00,Oregon: Multnomah County;,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0,2021
790,March,03/11/2021,08:10:00,03/11/2021,13:00:00,Washington:,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2021
791,March,03/17/2021,06:27:00,03/17/2021,08:27:00,Pennsylvania:,RF,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,43,7381,2021
792,March,03/17/2021,06:15:00,03/18/2021,12:00:00,"Texas: Dallas County, Tarrant County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,148000,2021
793,March,03/18/2021,21:08:00,03/19/2021,22:31:00,Washington: Okanogan County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,4,916,2021
794,March,03/19/2021,10:30:00,03/19/2021,12:00:00,Louisiana: Lafourche Parish;,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,Unknown,4200,2021
795,March,03/19/2021,19:11:00,03/19/2021,19:59:00,New Jersey:,RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,Unknown,Unknown,2021
796,March,03/19/2021,08:59:00,03/19/2021,10:04:00,Maine:,NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,2021
797,March,03/21/2021,04:01:00,03/22/2021,09:37:00,Minnesota: Hennepin County;,MRO,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0,2021
798,March,03/29/2021,11:06:00,Unknown,Unknown,Connecticut: Massachusetts: Maine: Vermont: Rhode Island: New Hampshire:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,70000,2021
799,March,03/29/2021,10:30:00,Unknown,Unknown,New Mexico:,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,Unknown,0,2021
800,March,03/30/2021,16:18:00,03/30/2021,20:21:00,Texas: Hidalgo County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0,2021
801,April,04/06/2021,08:49:00,04/06/2021,08:50:00,Florida: Alachua County;,SERC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Vandalism,0,0,2021
802,April,04/07/2021,17:42:00,04/07/2021,22:09:00,Ohio: Lake County;,RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0,2021
803,April,04/07/2021,10:18:00,04/07/2021,11:20:00,Texas:,TRE,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,2021
804,April,04/08/2021,04:51:00,04/10/2021,20:00:00,California:,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0,2021
805,April,04/09/2021,13:20:00,04/10/2021,00:40:00,Texas: Denton County;,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2021
806,April,04/12/2021,00:44:00,04/12/2021,17:45:00,Colorado: Larimer County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Actual Physical Attack,0,0,2021
807,April,04/13/2021,09:00:00,04/13/2021,10:00:00,Texas: Cameron County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0,2021
808,April,04/13/2021,16:49:00,04/13/2021,20:30:00,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,0,0,2021
809,April,04/13/2021,00:37:00,04/13/2021,04:19:00,Wisconsin: Eau Claire County;,MRO,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,2021
810,April,04/14/2021,10:19:00,04/14/2021,11:39:00,District of Columbia: Delaware: Maryland: New Jersey: Pennsylvania:,RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,2021
811,April,04/21/2021,20:31:00,04/21/2021,21:35:00,Minnesota: Dakota County;,MRO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0,2021
812,April,04/21/2021,13:13:00,04/21/2021,14:10:00,Texas: Travis County;,TRE,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,2021
813,April,04/22/2021,16:43:00,04/22/2021,17:14:00,Wisconsin: Dane County;,MRO,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,2021
814,April,04/22/2021,05:15:00,Unknown,Unknown,California:,WECC,Fuel supply emergencies that could impact electric power system adequacy or reliability.,Fuel Supply Deficiency,0,0,2021
815,April,04/24/2021,22:08:00,04/24/2021,23:41:00,Texas: Cameron County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0,2021
816,April,04/24/2021,21:00:00,04/25/2021,10:43:00,Alabama: Calhoun County; Georgia:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,137,18860,2021
817,April,04/25/2021,08:20:00,Unknown,Unknown,Tennessee: Davidson County;,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2021
818,April,04/26/2021,11:18:00,04/26/2021,13:00:00,Maine: Kennebec County;,NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,2021
819,May,05/02/2021,19:58:00,05/02/2021,20:22:00,New Hampshire: Hillsborough County;,NPCC,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more. ,System Operations,0,0,2021
820,May,05/03/2021,11:21:00,05/03/2021,11:53:00,Oklahoma: Oklahoma County;,MRO,"Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 
                continuous minutes or more.",System Operations,0,0,2021
821,May,05/03/2021,07:52:00,05/03/2021,07:53:00,South Carolina: Cherokee County;,SERC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0,2021
822,May,05/04/2021,15:45:00,05/05/2021,10:00:00,Arkansas:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,104027,2021
823,May,05/04/2021,18:06:00,05/05/2021,17:48:00,Mississippi: Alabama: Georgia:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,175,24457,2021
824,May,05/05/2021,11:50:00,05/08/2021,11:50:00,Michigan: Huron County;,RF,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Vandalism,0,0,2021
825,May,05/06/2021,17:00:00,05/06/2021,17:15:00,Missouri: Jasper County;,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,System Operations,0,0,2021
826,May,05/10/2021,02:28:00,05/10/2021,03:21:00,Pennsylvania:,RF,"Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 
                continuous minutes or more.",System Operations,0,0,2021
827,May,05/10/2021,12:17:00,05/10/2021,12:54:00,"Indiana: Vanderburgh County, Warrick County, Posey County, Daviess County, Gibson County, Knox County, Spencer County;",RF,"Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 
                continuous minutes or more.",System Operations,0,0,2021
828,May,05/11/2021,23:01:00,05/12/2021,08:29:00,Texas: Kinney County;,TRE,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Vandalism,0,0,2021
829,May,05/11/2021,09:32:00,05/11/2021,10:38:00,Wisconsin: Iowa:,MRO,"Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 
                continuous minutes or more.",System Operations,0,0,2021
830,May,05/14/2021,22:00:00,05/17/2021,06:00:00,Idaho:,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2021
831,May,05/14/2021,08:30:00,05/14/2021,16:00:00,Pennsylvania: Montgomery County;,RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0,2021
